     time (us)      	MABM		AB		AM		BM		A		B		ABM		M
   1.4400000e+04   3.2916667e+00   3.7500000e-01   5.7458333e+01   5.6937500e+01   6.0385417e+02   6.0437500e+02   2.0833333e-02   3.6340000e+03
   1.4500000e+04   3.3125000e+00   3.9583333e-01   5.7833333e+01   5.7187500e+01   6.0343750e+02   6.0408333e+02   2.0833333e-02   3.6333333e+03
   1.4600000e+04   3.3125000e+00   3.9583333e-01   5.8312500e+01   5.7708333e+01   6.0295833e+02   6.0356250e+02   2.0833333e-02   3.6323333e+03
   1.4700000e+04   3.3958333e+00   3.9583333e-01   5.8458333e+01   5.7958333e+01   6.0272917e+02   6.0322917e+02   2.0833333e-02   3.6317708e+03
   1.4800000e+04   3.4375000e+00   3.9583333e-01   5.8750000e+01   5.8208333e+01   6.0239583e+02   6.0293750e+02   2.0833333e-02   3.6311458e+03
   1.4900000e+04   3.5208333e+00   3.9583333e-01   5.8895833e+01   5.8375000e+01   6.0216667e+02   6.0268750e+02   2.0833333e-02   3.6306667e+03
   1.5000000e+04   3.5625000e+00   3.9583333e-01   5.9229167e+01   5.8687500e+01   6.0179167e+02   6.0233333e+02   2.0833333e-02   3.6299375e+03
   1.5100000e+04   3.6875000e+00   3.9583333e-01   5.9479167e+01   5.8875000e+01   6.0141667e+02   6.0202083e+02   2.0833333e-02   3.6292500e+03
   1.5200000e+04   3.7708333e+00   3.9583333e-01   5.9708333e+01   5.9083333e+01   6.0110417e+02   6.0172917e+02   2.0833333e-02   3.6286458e+03
   1.5300000e+04   3.8541667e+00   3.9583333e-01   5.9958333e+01   5.9208333e+01   6.0077083e+02   6.0152083e+02   2.0833333e-02   3.6281042e+03
   1.5400000e+04   3.9166667e+00   3.9583333e-01   6.0125000e+01   5.9437500e+01   6.0054167e+02   6.0122917e+02   2.0833333e-02   3.6275833e+03
   1.5500000e+04   3.9583333e+00   3.9583333e-01   6.0291667e+01   5.9729167e+01   6.0033333e+02   6.0089583e+02   2.0833333e-02   3.6270417e+03
   1.5600000e+04   4.0833333e+00   4.1666667e-01   6.0625000e+01   5.9750000e+01   5.9985417e+02   6.0072917e+02   2.0833333e-02   3.6264375e+03
   1.5700000e+04   4.1458333e+00   4.1666667e-01   6.0791667e+01   6.0000000e+01   5.9962500e+02   6.0041667e+02   2.0833333e-02   3.6258958e+03
