	time (s)	A		B		M		AM		BM		MAB		ABM		AB		MABM
   2.3590953e-03   8.4465336e+01   8.4465336e+01   3.7240291e+03   1.5490492e+01   1.5490492e+01   4.5591888e-05   4.5591888e-05   8.0501480e-03   3.8343566e-02
   2.4141571e-03   8.4120299e+01   8.4120299e+01   3.7233393e+03   1.5832728e+01   1.5832728e+01   4.6457188e-05   4.6457188e-05   8.1788571e-03   4.1014463e-02
   2.4705041e-03   8.3768776e+01   8.3768776e+01   3.7226365e+03   1.6181274e+01   1.6181274e+01   4.7332594e-05   4.7332594e-05   8.3077430e-03   4.3860666e-02
   2.5281661e-03   8.3410682e+01   8.3410682e+01   3.7219206e+03   1.6536207e+01   1.6536207e+01   4.8221472e-05   4.8221472e-05   8.4367178e-03   4.6891659e-02
   2.5871741e-03   8.3045886e+01   8.3045886e+01   3.7211912e+03   1.6897630e+01   1.6897630e+01   4.9121447e-05   4.9121447e-05   8.5659202e-03   5.0133963e-02
   2.6475593e-03   8.2674309e+01   8.2674309e+01   3.7204484e+03   1.7265610e+01   1.7265610e+01   5.0032321e-05   5.0032321e-05   8.6952242e-03   5.3599147e-02
   2.7093539e-03   8.2295876e+01   8.2295876e+01   3.7196918e+03   1.7640212e+01   1.7640212e+01   5.0953872e-05   5.0953872e-05   8.8244944e-03   5.7299367e-02
   2.7725908e-03   8.1910512e+01   8.1910512e+01   3.7189213e+03   1.8021497e+01   1.8021497e+01   5.1885850e-05   5.1885850e-05   8.9535861e-03   6.1247387e-02
   2.8373036e-03   8.1518145e+01   8.1518145e+01   3.7181368e+03   1.8409524e+01   1.8409524e+01   5.2827973e-05   5.2827973e-05   9.0823440e-03   6.5456615e-02
   2.9035269e-03   8.1118716e+01   8.1118716e+01   3.7173382e+03   1.8804342e+01   1.8804342e+01   5.3781621e-05   5.3781621e-05   9.2105532e-03   6.9937478e-02
   2.9712958e-03   8.0712110e+01   8.0712110e+01   3.7165253e+03   1.9206041e+01   1.9206041e+01   5.4748954e-05   5.4748954e-05   9.3382653e-03   7.4715308e-02
   3.0406465e-03   8.0298221e+01   8.0298221e+01   3.7156977e+03   1.9614698e+01   1.9614698e+01   5.5727935e-05   5.5727935e-05   9.4654925e-03   7.9817292e-02
   3.1116158e-03   7.9876985e+01   7.9876985e+01   3.7148555e+03   2.0030362e+01   2.0030362e+01   5.6718321e-05   5.6718321e-05   9.5920597e-03   8.5261040e-02
   3.1842416e-03   7.9448339e+01   7.9448339e+01   3.7139985e+03   2.0453077e+01   2.0453077e+01   5.7719837e-05   5.7719837e-05   9.7177801e-03   9.1065044e-02
